Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Cabin,Embarked
0,3,0,-1.142110286,1,0,-0.357390858,,0
0,3,1,-0.565736461,0,0,-0.486337422,,0
0,3,0,-0.719436148,1,0,-0.450598352,,0
0,3,0,-0.949985678,0,0,-0.357308306,,0
0,3,1,-0.642586304,0,0,-0.488854258,,0
0,3,1,3.16148094,0,0,-0.492377828,,0
0,2,1,-0.027787558,1,0,-0.225593223,,0
0,3,0,-2.102733328,4,2,-0.018709312,,0
0,3,1,-0.104637401,0,0,-0.486337422,,0
0,2,1,0.241186894,1,0,-0.042955502,,0
1,2,0,0.241186894,0,0,-0.38667072,E101,0
1,3,1,-1.334234894,1,0,-0.422073541,,0
0,3,1,-0.104637401,0,0,-0.492377828,,0
1,3,1,-0.412036774,0,0,-0.504625758,,0
1,3,0,-0.104637401,1,1,-0.198244277,F E69,0
0,3,1,1.201809935,0,0,-0.50798221,,0
0,3,1,0.279611815,0,0,-0.48944219,,0
0,3,1,-0.719436148,0,0,-0.506472109,,0
0,3,0,1.355509622,1,0,-0.356468689,,0
1,2,0,-0.027787558,1,0,-0.124919787,,0
0,2,1,-0.335186931,0,0,-0.38667072,,0
0,2,1,-0.488886618,0,0,-0.345479177,,0
1,1,0,-0.796285991,0,2,-0.11921563,D47,0
0,1,1,0.587011189,1,0,0.420730236,C123,0
0,3,1,-1.026835521,0,0,-0.462846282,,0
0,3,0,-0.104637401,0,2,-0.34145224,,0
1,3,0,-0.565736461,0,0,-0.492377828,,0
1,3,0,-0.412036774,1,0,-0.329286862,,0
0,3,1,-0.796285991,0,0,-0.512512515,,0
0,2,1,-0.873135834,0,0,-0.416872751,,0
0,2,1,-0.796285991,1,1,0.091528101,,0
1,3,1,-0.181487244,0,0,-0.491455659,,0
0,3,0,-1.564784424,2,2,0.043708218,,0
0,2,1,0.548586267,0,2,-0.124919787,F2,0
0,2,1,0.971260405,0,0,-0.38667072,,0
0,2,1,1.662908995,0,0,-0.396234697,,0
0,3,1,2.00873329,0,0,-0.486337422,,0
0,3,1,0.85598564,0,2,-0.356468689,,0
0,3,1,-0.104637401,0,0,-0.501186753,,0
0,1,1,1.662908995,0,1,0.587429338,,0
1,3,0,-1.026835521,0,0,-0.492714077,,0
0,3,1,0.049062285,0,0,-0.486337422,,0
0,3,1,-0.104637401,0,0,-0.474004926,,0
0,3,1,1.124960092,0,1,-0.32425319,,0
1,2,0,0.817560719,0,0,-0.33130033,,0
0,3,1,-0.258337088,0,0,-0.491874461,,0
0,3,1,-0.949985678,0,0,-0.474004926,,0
0,3,1,-2.179583171,4,1,0.150673744,,0
1,3,1,-1.564784424,0,2,-0.235157199,,0
1,1,0,-0.104637401,0,1,0.458986142,E33,0
0,3,0,1.201809935,1,4,-0.086663881,,0
0,1,1,-0.104637401,0,0,-0.126429888,,0
0,3,1,-0.104637401,0,0,0.489103607,,0
0,1,1,2.431407428,0,0,0.026090367,B19,0
0,3,1,-1.949033641,4,1,-0.061998889,,0
1,3,0,-2.179583171,1,1,-0.424256141,,0
0,3,1,-0.642586304,0,0,-0.488854258,,0
0,1,1,2.047158212,0,0,-0.030371323,A7,0
0,3,1,-0.873135834,1,1,-0.490279793,,0
0,3,1,-0.104637401,3,1,-0.135657615,,0
0,1,0,1.586059152,0,0,-0.070304448,C49,0
0,2,1,0.049062285,0,0,-0.38667072,,0
0,3,1,0.510161345,0,0,-0.648421654,,0
0,2,1,-0.104637401,0,0,-0.345394611,,0
0,3,1,-1.564784424,4,2,-0.016444159,,0
1,2,1,-2.179583171,2,1,0.136831147,F4,0
1,3,0,-1.949033641,0,2,-0.204955168,,0
0,1,1,-0.104637401,0,0,0.358312706,A32,0
1,3,0,-0.104637401,1,0,-0.336334002,,0
1,1,1,1.201809935,0,0,-0.113845709,,0
0,3,1,0.817560719,1,1,-0.336334002,,0
0,3,1,0.510161345,0,0,-0.48944219,,0
1,2,0,0.202761972,0,0,-0.38667072,,0
0,2,1,-0.796285991,0,0,-0.38667072,,0
1,3,0,-0.796285991,1,0,-0.490279793,,0
1,2,1,-2.025883484,1,1,-0.124919787,F2,0
1,1,0,1.124960092,0,0,-0.090272017,B4,0
0,3,1,-0.104637401,0,0,-0.492377828,,0
0,3,1,0.971260405,0,1,-0.479205715,,0
1,3,0,-0.104637401,0,0,-0.492377828,,0
0,2,0,-0.412036774,0,0,-0.38667072,,0
0,3,1,-0.104637401,0,0,-0.457142125,,0
0,3,1,0.356461659,0,0,-0.517630753,,0
0,3,1,1.240234857,0,0,-0.502948539,,0
1,3,1,-0.873135834,0,0,-0.486337422,,0
0,3,0,-2.102733328,0,1,-0.437762489,G6,0
0,3,1,0.202761972,1,0,-0.329286862,,0
1,3,1,-0.258337088,0,0,-0.270141218,,0
1,3,0,-1.026835521,0,0,-0.492377828,,0
1,1,1,0.817560719,0,0,-0.024246351,A31,0
0,3,1,-0.412036774,0,0,-0.506472109,,0
1,2,0,0.433311502,0,0,-0.225593223,,0
0,3,1,-0.565736461,0,0,-0.502445171,,0
0,2,1,0.049062285,0,0,-0.38667072,,0
0,3,1,-0.104637401,1,0,-0.492377828,,0
1,3,0,-0.181487244,0,0,-0.488854258,,0
0,2,1,0.971260405,1,0,-0.1047851,,0
0,2,1,0.049062285,0,0,-0.437007438,,0
1,3,1,-1.026835521,0,0,-0.486337422,,0
0,2,1,-0.181487244,0,0,-0.38667072,,0
0,3,1,1.662908995,0,0,-0.486337422,,0
0,3,1,-0.104637401,0,0,-0.48944219,,0
0,3,1,-0.565736461,0,0,-0.460162328,,0
1,2,1,-0.796285991,0,0,-0.437007438,,0
0,3,1,-0.681011226,0,0,-0.502445171,,0
0,2,1,-0.873135834,0,0,-0.38667072,,0
0,3,0,-0.104637401,3,1,-0.135657615,,0
0,3,1,-0.027787558,0,0,-0.491874461,,0
0,2,1,2.277707742,0,0,-0.376603377,,0
1,3,0,-1.872183798,4,2,-0.016444159,,0
0,2,1,-0.412036774,0,0,-0.437007438,,0
0,3,0,-0.104637401,0,0,-0.496404765,,0
0,2,1,1.124960092,1,0,-0.124919787,,0
1,2,0,-1.641634268,0,2,-0.119886115,,0
0,2,1,-0.796285991,0,0,-0.437007438,,0
0,2,1,0.279611815,0,0,-0.401268368,,0
0,3,0,-0.104637401,1,0,-0.357390858,,0
1,3,0,-0.104637401,1,0,-0.336334002,,0
0,2,1,-0.027787558,0,0,-0.437007438,,0
0,3,1,-0.565736461,0,0,-0.504962007,,0
0,3,1,0.049062285,0,0,-0.502948539,,0
0,3,0,-0.335186931,0,0,-0.491874461,,0
1,2,0,-0.412036774,0,2,-0.356468689,,0
1,1,1,0.587011189,1,1,0.409740724,D35,0
0,2,1,1.893458525,1,0,-0.124919787,,0
0,3,1,-0.104637401,0,0,-0.502445171,,0
0,3,0,-0.027787558,1,1,-0.437762489,G6,0
0,1,1,2.508257272,0,0,-0.113845709,C87,0
0,3,1,0.049062285,1,0,-0.32425319,,0
0,3,0,0.894410562,0,2,-0.241449289,,0
1,3,0,-0.027787558,0,2,-0.34145224,,0
1,2,0,1.586059152,0,1,-0.124919787,,0
0,3,1,-0.104637401,0,0,-0.492377828,,0
1,3,1,-2.025883484,4,2,-0.016444159,,0
0,1,1,0.817560719,0,0,-0.648421654,B94,0
0,3,0,-0.104637401,0,0,-0.492377828,,0
0,2,1,0.510161345,0,0,-0.437007438,,0
0,3,1,-1.026835521,4,1,0.150673744,,0
1,3,1,-0.335186931,1,0,-0.491874461,,0
0,1,1,-0.104637401,0,0,-0.024246351,,0
1,3,1,-0.335186931,0,0,-0.648421654,,0
1,2,0,0.894410562,0,1,-0.255795253,,0
0,1,1,0.587011189,0,1,-0.050421444,C118,0
1,3,0,-0.104637401,0,0,-0.492377828,,0
0,3,0,1.201809935,0,0,-0.492377828,,0
0,2,1,-0.104637401,0,0,-0.648421654,,0
0,3,1,-1.718484111,4,1,-0.061998889,,0
1,3,0,0.433311502,1,1,-0.240694238,,0
0,3,1,2.738806802,0,0,-0.492377828,,0
0,3,1,-0.104637401,0,0,-0.490279793,,0
0,3,1,-1.026835521,0,0,-0.457142125,,0
1,3,1,-0.796285991,0,0,-0.486337422,,0
0,1,1,-0.104637401,0,0,-0.124919787,A19,0
0,3,1,0.279611815,0,0,-0.474004926,,0
1,3,1,0.049062285,0,0,-0.457142125,,0
0,3,1,-0.565736461,0,0,-0.48944219,,0
1,2,1,0.971260405,0,0,-0.38667072,,0
1,3,0,-0.565736461,0,0,-0.492377828,,0
0,2,1,0.510161345,0,0,-0.389187556,D,0
0,3,0,-0.412036774,0,0,-0.470229672,,0
0,3,1,-0.412036774,0,0,-0.48944219,,0
0,1,1,-0.104637401,0,0,-0.090272017,,0
0,3,1,-0.450461696,0,0,-0.502863973,,0
1,1,1,-0.104637401,0,0,-0.034313694,C106,0
1,3,0,-0.104637401,0,0,-0.492377828,,0
1,3,1,-0.104637401,2,0,-0.180290176,,0
0,3,1,-0.796285991,0,0,-0.648421654,,0
1,2,0,-0.104637401,0,0,-0.399758267,E101,0
0,3,1,-0.104637401,0,0,-0.486337422,,0
0,2,1,0.049062285,1,0,-0.165189161,,0
1,1,0,0.049062285,0,0,0.49782998,E36,0
0,2,0,-0.258337088,1,1,-0.124919787,,0
0,3,1,-0.104637401,0,0,-0.48944219,,0
0,2,1,1.048110249,1,1,-0.119886115,,0
1,3,0,-0.258337088,0,0,-0.490279793,,0
1,2,0,-0.412036774,1,0,-0.124919787,,0
0,2,1,1.893458525,0,0,-0.366536033,,0
0,3,1,-0.565736461,0,0,-0.502445171,,0
0,3,1,-0.181487244,0,0,-0.48944219,,0
1,2,0,0.049062285,0,0,-0.399758267,,0
1,2,0,-0.565736461,1,1,-0.064515725,,0
0,3,1,2.431407428,0,0,-0.522831542,,0
1,2,0,0.510161345,0,0,-0.38667072,D,0
1,3,0,0.125912129,1,1,-0.235157199,,0
1,1,0,-1.026835521,0,1,0.518971402,B18,0
1,3,0,-0.104637401,2,0,-0.180290176,,0
0,1,1,1.240234857,0,0,-0.074583069,C124,0
0,3,1,-1.026835521,2,0,-0.285997284,,0
0,3,1,-0.104637401,0,0,-0.48944219,,0
1,3,1,1.201809935,0,0,-0.486337422,,0
0,1,1,1.201809935,0,0,0.066359742,T,0
1,2,1,-2.102733328,1,1,-0.124919787,F2,0
0,2,1,-0.104637401,0,0,-0.38667072,,0
0,2,1,-0.335186931,0,0,-0.38667072,,0
0,2,1,0.510161345,0,0,-0.38667072,,0
1,2,0,-0.412036774,0,0,-0.38667072,F33,0
1,2,0,0.817560719,0,0,-0.38667072,,0
1,3,0,-0.104637401,1,0,-0.32425319,,0
1,3,1,-2.025883484,1,1,-0.328280127,,0
0,3,1,0.971260405,0,0,-0.474004926,,0
0,3,1,-0.488886618,0,0,-0.462679164,,0
0,1,1,-0.104637401,0,0,0.056292398,C128,0
0,3,1,-1.103685364,1,1,-0.502863973,,0
0,3,1,-0.335186931,1,0,-0.290024222,,0
0,3,1,-0.104637401,0,0,-0.502948539,,0
0,3,1,-0.104637401,0,0,-0.457142125,,0
1,1,0,-0.565736461,0,1,0.458986142,E33,0
0,2,0,0.663861032,0,0,-0.38667072,,0
1,3,0,-0.104637401,0,0,-0.489776426,,0
1,3,0,-0.104637401,0,0,-0.489776426,,0
0,3,1,0.817560719,1,4,-0.086663881,,0
0,2,1,-0.027787558,1,0,-0.090272017,,0
0,3,0,1.201809935,0,1,-0.357390858,,0
0,3,1,0.433311502,0,0,-0.506472109,,0
0,3,1,-0.104637401,1,0,-0.336334002,,0
0,3,1,0.049062285,0,0,-0.502445171,,0
1,3,0,-0.104637401,0,0,-0.502863973,,0
1,3,0,-0.104637401,0,0,-0.492377828,,0
1,1,1,-0.335186931,1,0,0.467879633,E50,0
0,3,1,-0.873135834,1,0,-0.517630753,,0
0,3,1,-0.796285991,0,0,-0.486337422,,0
0,3,0,-2.025883484,3,1,-0.224083121,,0
1,3,0,-0.565736461,0,0,-0.502445171,,0
0,3,1,-0.719436148,0,0,-0.567631221,,0
0,3,1,-0.796285991,0,0,-0.491874461,,0
1,3,0,-2.179583171,0,2,-0.331467448,,0
0,3,1,0.202761972,0,0,-0.488854258,,0
1,1,0,0.433311502,1,0,0.39858208,,0
0,3,1,-0.104637401,0,0,-0.48944219,,0
0,3,1,-2.179583171,5,2,0.295895176,,0
1,2,0,0.510161345,0,0,-0.38667072,,0
0,3,1,-0.104637401,0,0,-0.492796629,,0
1,2,0,-0.949985678,0,0,-0.406805407,,0
1,3,1,-0.642586304,0,0,-0.491455659,,0
0,3,1,-0.104637401,2,0,-0.488854258,,0
1,3,0,-0.412036774,0,2,-0.312172378,G6,0
0,3,1,-0.565736461,0,0,-0.491455659,,0
0,3,0,0.125912129,0,0,-0.490279793,,0
0,2,1,1.278659779,0,0,-0.124919787,,0
0,2,1,-0.488886618,0,0,-0.437007438,,0
1,2,0,-0.104637401,0,0,-0.393717861,,0
1,3,1,0.740710875,0,0,-0.488854258,,0
0,3,1,-0.258337088,0,0,-0.486337422,,0
0,3,0,-0.642586304,1,0,-0.450598352,,0
0,3,1,-0.104637401,1,0,-0.329286862,,0
0,3,0,-0.719436148,0,0,-0.474004926,,0
0,2,1,0.356461659,1,0,-0.225593223,,0
0,3,1,1.662908995,0,0,-0.492377828,,0
1,2,1,-2.025883484,1,1,-0.270896269,,0
0,3,1,-0.642586304,0,0,-0.491874461,,0
0,3,0,-0.104637401,3,1,-0.135657615,,0
0,3,1,-0.104637401,0,0,-0.48944219,,0
0,3,1,-0.104637401,0,0,-0.510331928,,0
0,2,1,-0.104637401,0,0,-0.648421654,,0
1,3,1,1.124960092,0,0,-0.488854258,,0
0,3,0,-0.104637401,0,0,-0.486337422,,0
1,2,0,0.356461659,1,1,0.00595568,,0
1,2,0,-0.873135834,0,2,-0.38667072,,0
0,2,1,0.049062285,0,0,-0.38667072,,0
0,3,0,-1.487934581,0,2,-0.162168958,,0
0,3,1,-0.104637401,0,0,-0.48944219,,0
0,3,1,-0.642586304,0,0,-0.492714077,,0
0,3,1,-0.027787558,0,0,-0.489860992,,0
0,3,0,-0.104637401,1,1,-0.358482158,,0
0,3,1,-0.873135834,1,1,-0.241449289,,0
0,3,1,-0.104637401,0,0,-0.502445171,,0
1,2,0,-0.104637401,1,0,-0.124919787,,0
1,2,0,-0.796285991,0,0,-0.124919787,,0
0,3,1,-0.104637401,0,0,-0.492377828,,0
1,3,1,0.202761972,0,0,-0.486337422,E10,0
1,1,1,-0.104637401,0,0,-0.113845709,C52,0
1,3,0,-0.104637401,1,0,-0.32425319,,0
1,2,0,0.971260405,1,0,-0.124919787,,0
0,3,1,-0.949985678,0,0,-0.504962007,,0
0,1,1,1.586059152,1,0,0.47710736,E44,0
0,3,0,-0.642586304,2,2,0.043708218,,0
1,2,0,-0.412036774,2,3,-0.270896269,,0
0,2,1,0.125912129,0,0,-0.437007438,,0
1,2,0,1.201809935,1,1,-0.119886115,,0
0,3,1,-0.719436148,0,0,-0.457142125,,0
0,3,1,-0.335186931,1,0,-0.491874461,,0
1,2,0,-0.104637401,0,0,-0.38667072,,0
1,3,1,-0.104637401,0,0,-0.485079004,,0
1,2,0,-1.257385051,0,1,-0.255795253,,0
1,1,1,0.356461659,0,0,-0.113845709,,0
1,3,0,-1.872183798,2,1,-0.260661807,,0
1,1,1,1.739758839,0,0,-0.034313694,C104,0
0,2,1,0.510161345,1,2,-0.089684084,,0
0,3,1,-0.104637401,1,0,-0.246398395,,0
0,1,1,0.049062285,0,0,-0.089684084,C111,0
0,3,1,-0.104637401,0,0,-0.486337422,,0
1,3,1,-0.027787558,0,0,-0.48944219,,0
0,1,1,2.738806802,0,0,-0.113845709,E38,0
1,1,0,-0.104637401,1,0,0.395813561,D21,0
1,2,0,1.586059152,0,0,-0.437007438,,0
0,3,1,-0.104637401,0,0,-0.492377828,,0
1,1,1,1.432359465,0,0,-0.113845709,E12,0
0,3,1,0.356461659,0,0,-0.486337422,,0
0,1,1,1.355509622,0,0,0.126763803,E63,0
0,2,1,1.432359465,0,0,-0.38667072,,0
0,3,1,-0.104637401,0,0,-0.486337422,,0
0,3,1,0.663861032,0,0,-0.506472109,,0
0,2,1,-0.104637401,0,0,-0.648421654,,0
0,1,1,2.047158212,0,0,-0.113845709,,0
0,3,1,-0.104637401,0,0,-0.492881195,,0
1,3,0,-2.198795632,2,1,-0.260661807,,0
0,3,1,-0.104637401,0,0,-0.502445171,,0
0,3,1,0.663861032,0,0,-0.474004926,,0
1,2,0,0.279611815,1,2,-0.089684084,,0
1,2,0,-0.488886618,0,0,-0.370730088,D,0
0,3,0,-0.565736461,0,0,-0.450346668,,0
0,1,1,-0.104637401,0,0,0.39858208,A14,0
0,2,1,0.356461659,1,0,-0.225593223,,0
0,3,1,-0.027787558,1,0,-0.506556675,,0
0,3,1,-0.565736461,0,0,-0.496992698,,0
1,3,0,-2.102733328,0,1,-0.401016685,,0
0,3,1,-1.564784424,5,2,0.295895176,,0
0,2,1,-0.104637401,0,0,-0.648421654,,0
0,3,1,1.586059152,0,0,-0.486337422,,0
1,3,0,2.585107115,0,0,-0.45538034,,0
0,3,0,-0.104637401,3,1,-0.135657615,,0
0,1,1,2.200857898,0,0,-0.050421444,B37,0
0,3,1,0.049062285,0,0,-0.486337422,,0
1,3,1,-1.564784424,1,1,-0.328280127,,0
0,3,1,-0.104637401,1,0,-0.246398395,,0
0,3,1,-0.642586304,0,0,-0.502445171,,0
0,1,1,1.970308369,0,0,-0.034313694,C30,0
0,1,1,3.199905862,0,0,0.348329928,,0
0,3,1,-0.642586304,0,0,-0.486337422,,0
0,3,1,-0.104637401,0,0,-0.357308306,,0
0,3,1,-0.104637401,0,0,-0.344387877,,0
0,3,1,-0.412036774,0,0,-0.491455659,,0
0,3,1,-0.949985678,0,0,-0.474004926,,0
0,3,0,-0.642586304,0,0,-0.492377828,,0
0,3,0,-0.104637401,0,0,-0.494810098,,0
0,3,0,0.587011189,0,0,-0.45538034,,0
1,2,0,0.279611815,0,2,-0.124919787,,0
1,1,1,-0.104637401,0,0,-0.113845709,,0
0,3,1,-0.104637401,0,0,-0.194887825,,0
1,3,1,-0.258337088,0,0,0.489103607,,0
1,3,1,-0.027787558,0,0,-0.492377828,,0
0,3,1,-0.104637401,0,0,-0.486337422,,0
1,1,1,0.510161345,0,0,-0.119131064,E25,0
1,1,0,1.893458525,1,0,0.547578765,,0
0,3,1,-0.412036774,0,0,-0.497496065,,0
0,1,1,1.355509622,0,0,0.036576512,D46,0
1,2,0,0.356461659,0,0,-0.437007438,F33,0
0,3,1,-0.104637401,0,0,-0.162168958,,0
1,2,0,0.510161345,1,0,-0.124919787,,0
0,3,1,0.202761972,0,0,-0.48944219,,0
0,3,1,-0.565736461,0,0,-0.48944219,,0
0,3,1,-0.104637401,0,0,-0.502948539,,0
1,1,0,1.124960092,0,1,0.518971402,B18,0
0,3,1,-0.104637401,0,0,-0.502863973,,0
0,3,1,0.85598564,0,0,-0.492377828,,0
1,2,0,1.586059152,0,0,-0.437007438,,0
0,3,1,0.740710875,0,0,-0.488854258,,0
0,2,1,-0.488886618,2,1,-0.416872751,,0
1,2,0,-2.102733328,1,1,-0.124919787,,0
0,3,1,-0.104637401,0,0,-0.502863973,,0
0,3,1,-0.949985678,1,1,-0.502863973,,0
1,3,0,-0.104637401,0,2,-0.198244277,,0
0,3,0,0.049062285,0,0,-0.474004926,,0
1,2,0,-1.718484111,0,2,-0.119886115,,0
0,1,1,1.201809935,0,0,-0.113845709,B38,0
0,3,1,-0.104637401,0,0,-0.356468689,,0
1,1,0,-0.565736461,0,2,0.348245362,B39,0
0,3,0,-1.564784424,4,2,-0.018709312,,0
0,3,0,-1.411084738,4,2,-0.018709312,,0
1,2,1,0.202761972,1,0,-0.124919787,,0
0,1,1,2.661956958,0,0,-0.124919787,,0
1,2,0,-0.796285991,1,0,-0.124919787,,0
1,2,1,-0.104637401,0,0,-0.369304552,,0
0,3,1,0.279611815,1,1,-0.235157199,,0
1,2,1,-1.641634268,1,1,0.091528101,,0
0,2,1,-0.181487244,0,0,-0.124919787,,0
0,3,1,-0.104637401,0,0,-0.490783161,,0
1,3,1,-0.565736461,0,0,-0.502948539,,0
1,3,0,-0.565736461,0,0,-0.491874461,,0
0,1,1,2.508257272,0,0,-0.113845709,,0
1,1,0,1.432359465,1,0,0.148911959,A16,0
1,3,0,0.510161345,1,0,-0.298078096,,0
0,3,1,-0.104637401,0,0,-0.492377828,,0
0,3,1,0.817560719,0,0,-0.48944219,,0
0,2,1,-0.104637401,0,0,-0.376603377,,0
0,3,1,-0.104637401,0,0,-0.486337422,,0
0,3,0,-0.104637401,0,0,-0.486337422,,0
0,3,1,-0.412036774,2,0,-0.162168958,,0
0,3,1,-0.796285991,0,0,-0.48944219,,0
0,3,0,-0.027787558,0,4,-0.224083121,,0
0,3,1,-0.104637401,0,0,-0.502863973,,0
1,3,1,0.202761972,0,0,-0.490279793,,0
1,2,1,2.508257272,0,0,-0.437007438,,0
1,1,0,1.816608682,2,0,0.388095935,C101,0
1,1,1,0.510161345,0,0,-0.117117595,E25,0
1,3,0,-0.104637401,0,0,-0.492377828,,0
0,3,1,-1.026835521,0,0,-0.486337422,,0
0,3,1,-0.796285991,0,0,-0.356468689,,0
1,2,0,0.356461659,0,0,-0.38667072,,0
1,1,0,0.740710875,1,0,0.47710736,E44,0
0,3,0,-0.104637401,1,0,-0.357308306,,0
1,3,1,0.202761972,0,0,-0.488854258,,0
1,2,0,-0.335186931,1,1,-0.044381038,,0
0,2,1,1.893458525,0,0,-0.124919787,,0
0,1,1,0.510161345,0,0,0.15948267,A10,0
0,3,1,-0.104637401,0,0,-0.472998191,,0
0,2,1,1.355509622,0,0,-0.346401346,,0
0,3,1,-0.565736461,0,0,-0.486337422,,0
0,3,1,-0.104637401,0,0,-0.486337422,,0
0,3,1,0.433311502,0,0,-0.504962007,,0
0,3,1,1.355509622,0,0,-0.502445171,,0
0,3,0,-0.104637401,0,2,-0.492377828,,0
0,2,1,0.587011189,1,0,-0.124919787,,0
0,3,1,0.510161345,1,1,-0.162168958,,0
1,2,0,-0.104637401,0,0,0.016023024,,0
0,3,1,1.509209309,0,0,-0.648421654,,0
0,3,1,-0.104637401,0,0,-0.502948539,,0
